,Eurasian,My-Simulated-ANA,Yoruba,Dinka,Distance
Moroccan,71.4,16.2,11.2,1.2,0.0398012
Algerian,73.8,14.4,8.8,3,0.03923134
Tunisian,76.6,14.2,4.8,4.4,0.04512201
Libyan,77.2,12.4,1.8,8.6,0.05988498
Egyptian-A,84.6,8.4,0,7,0.07347678
Egyptian-B,82.4,7.8,0,9.8,0.07005871
Egyptian-Copt,88.6,9,0,2.4,0.09067283
Egypt-Iron-Age,91,9,0,0,0.10165546
Palestinian,92.8,6,0,1.2,0.06810898
Lebanese-Christian,97.8,2.2,0,0,0.06548508
Lebanese-Muslim,96.8,3.2,0,0,0.05744964
Syrian,95.6,4.2,0,0.2,0.05519297
Saudi,91.4,8.6,0,0,0.14395445
